Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,IsAlone,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare
3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,1.5851873103734548,-0.5609748304808925,1,0,1,0,1,0,0
2,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-1.1747270817559212,-0.5609748304808925,1,0,1,0,1,0,0
1,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,2.0316232164746784,-0.5609748304808925,1,0,1,0,1,0,0
3,1,-0.8731358343600393,-0.47454519624983954,0.7676298785983874,-0.7179639318154005,0.059159876663617626,0,0,1,0,0,1,0
2,1,0.12591212881674602,0.4327933656785018,0.7676298785983874,0.1076293552428666,0.6792945838081278,0,0,1,0,0,1,0
3,0,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,-0.7627462611790877,-0.5609748304808925,1,0,1,0,1,0,0
3,0,-0.2583370877897099,-0.47454519624983954,-0.4736736092984604,1.5851873103734548,-0.5609748304808925,1,0,1,0,1,0,0
1,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,2.0316232164746784,-0.5609748304808925,1,0,0,0,1,0,0
3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.7961266098800885,-0.5609748304808925,1,1,0,0,1,0,0
3,1,0.12591212881674602,0.4327933656785018,-0.4736736092984604,-0.29539695352818096,0.059159876663617626,0,0,1,0,0,1,0
1,0,2.0471582118490255,-0.47454519624983954,-0.4736736092984604,0.5595073378043441,-0.5609748304808925,1,0,0,0,0,0,1
3,1,-0.6425863043961658,0.4327933656785018,-0.4736736092984604,-0.6947593867649463,0.059159876663617626,0,0,1,1,0,0,0
3,0,-0.10463740114712752,6.784163299176891,2.0089333664952354,2.0316232164746784,5.64037224096421,0,0,1,0,1,0,0
1,0,2.0471582118490255,-0.47454519624983954,-0.4736736092984604,0.12228485737999564,-0.5609748304808925,1,0,1,0,1,0,0
3,0,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,-0.793684026190567,-0.5609748304808925,1,0,1,0,1,0,0
1,1,0.27961181545932834,0.4327933656785018,-0.4736736092984604,2.0316232164746784,0.059159876663617626,0,1,0,1,0,0,0
3,0,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,-0.7969424328323887,-0.5609748304808925,1,1,0,0,1,0,0
3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.8205524467753036,-0.5609748304808925,1,0,1,0,1,0,0
3,0,1.0481102486722402,-0.47454519624983954,-0.4736736092984604,-0.8596337858076476,-0.5609748304808925,1,0,1,0,1,0,0
3,1,-0.10463740114712752,2.2474704895351842,0.7676298785983874,0.06936383916282275,1.9195639980971482,0,0,1,1,0,0,0
3,0,0.04906228549545483,0.4327933656785018,-0.4736736092984604,-0.3882151337299979,0.059159876663617626,0,0,1,0,1,0,0
1,1,0.20276197213803718,-0.47454519624983954,-0.4736736092984604,2.0316232164746784,-0.5609748304808925,1,0,0,1,0,0,0
1,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,2.0316232164746784,-0.5609748304808925,1,0,0,0,0,1,0
2,0,-0.7962859910387481,-0.47454519624983954,-0.4736736092984604,-0.661784506956406,-0.5609748304808925,1,0,1,0,1,0,0
